time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-03-21,6.5,3.7,11.0,1.1,,88.0,8.5,,1011.5,
2021-03-22,11.4,6.0,20.0,1.6,,122.0,19.0,,1002.1,
2021-03-23,5.3,1.0,12.4,9.8,,273.0,12.5,,1002.8,
2021-03-24,-0.1,-1.2,1.1,5.6,,294.0,17.1,,1006.7,
2021-03-25,-0.7,-3.0,2.5,3.1,,292.0,18.6,,1014.3,
2021-03-26,-0.6,-3.0,2.0,0.3,,279.0,15.7,,1022.4,
2021-03-27,2.7,-3.0,7.3,0.0,,317.0,8.0,,1027.6,
2021-03-28,3.5,-6.0,13.0,0.0,,351.0,2.0,,1029.8,
2021-03-29,4.1,-3.0,12.0,1.0,,309.0,8.4,,1029.0,
2021-03-30,2.9,-5.0,8.0,0.8,,299.0,10.5,,1024.5,
2021-03-31,5.0,2.0,9.0,1.9,,356.0,8.9,,1019.0,
2021-04-01,3.6,1.0,6.0,3.4,,280.0,10.4,,1016.6,
2021-04-02,5.6,2.0,11.5,0.0,,289.0,5.6,,1016.1,
2021-04-03,7.3,-1.1,17.8,0.6,,1.0,6.9,,1015.8,
2021-04-04,9.3,1.7,15.5,0.9,,120.0,8.4,,1015.0,
2021-04-05,10.0,7.0,14.4,12.5,,277.0,13.1,,1012.6,
2021-04-06,12.3,6.8,19.2,0.6,,100.0,15.5,,1009.8,
2021-04-07,15.1,8.8,22.0,0.0,,233.0,13.7,,1007.7,
2021-04-08,7.1,1.0,15.0,4.2,,275.0,14.2,,1012.3,
2021-04-09,1.6,0.0,4.0,3.2,,301.0,18.1,,1020.6,
2021-04-10,2.0,-1.0,6.0,0.0,,337.0,15.9,,1022.0,
2021-04-11,1.8,0.0,4.0,0.4,,285.0,13.6,,1022.4,
2021-04-12,2.5,0.0,5.0,6.5,,274.0,10.6,,1022.9,
2021-04-13,7.2,-1.0,14.0,0.0,,56.0,5.2,,1020.1,
